profile,strategy,budget_k_pct,budget_k_nodes,metric_name,point_estimate,lower_interval,upper_interval,method,n_resamples_or_runs
smoke,random,2,6,prevention_rate_pct,5.4466,4.5752,7.0588,percentile_interval_across_phase05_runs,3
smoke,random,3,10,final_mean_infected_per_hh,3.2917,3.2614,3.3478,percentile_interval_across_phase05_runs,3
smoke,random,3,10,reduction_vs_baseline_pct,2.2793,-2.1407,5.7749,percentile_interval_across_phase05_runs,3
smoke,random,3,10,prevention_rate_pct,11.7647,10.4902,13.5948,percentile_interval_across_phase05_runs,3
smoke,random,4,13,final_mean_infected_per_hh,3.1591,3.084,3.2245,percentile_interval_across_phase05_runs,3
smoke,random,4,13,reduction_vs_baseline_pct,6.199,1.6225,10.8932,percentile_interval_across_phase05_runs,3
smoke,random,4,13,prevention_rate_pct,16.5578,16.3399,16.9608,percentile_interval_across_phase05_runs,3
smoke,random,5,17,final_mean_infected_per_hh,3.1023,3.0233,3.2392,percentile_interval_across_phase05_runs,3
smoke,random,5,17,reduction_vs_baseline_pct,7.8637,1.1816,12.3579,percentile_interval_across_phase05_runs,3
smoke,random,5,17,prevention_rate_pct,15.9041,13.1699,19.379,percentile_interval_across_phase05_runs,3
smoke,random,6,20,final_mean_infected_per_hh,3.053,2.983,3.0909,percentile_interval_across_phase05_runs,3
smoke,random,6,20,reduction_vs_baseline_pct,9.3572,5.6987,13.8144,percentile_interval_across_phase05_runs,3
smoke,random,6,20,prevention_rate_pct,17.8649,15.1634,20.7516,percentile_interval_across_phase05_runs,3
smoke,random,7,23,final_mean_infected_per_hh,2.9811,2.9228,3.0523,percentile_interval_across_phase05_runs,3
smoke,random,7,23,reduction_vs_baseline_pct,11.5134,9.3776,15.4222,percentile_interval_across_phase05_runs,3
smoke,random,7,23,prevention_rate_pct,23.9652,17.451,28.6275,percentile_interval_across_phase05_runs,3
smoke,random,8,27,final_mean_infected_per_hh,2.8447,2.7852,2.9364,percentile_interval_across_phase05_runs,3
smoke,random,8,27,reduction_vs_baseline_pct,15.6088,14.2784,17.3871,percentile_interval_across_phase05_runs,3
smoke,random,8,27,prevention_rate_pct,26.5795,21.3072,30.0,percentile_interval_across_phase05_runs,3
smoke,random,9,30,final_mean_infected_per_hh,2.875,2.854,2.8864,percentile_interval_across_phase05_runs,3
smoke,random,9,30,reduction_vs_baseline_pct,14.6822,12.9287,16.6091,percentile_interval_across_phase05_runs,3
smoke,random,9,30,prevention_rate_pct,30.0654,29.4445,30.6863,percentile_interval_across_phase05_runs,3
smoke,random,10,34,final_mean_infected_per_hh,2.7841,2.6534,2.9341,percentile_interval_across_phase05_runs,3
smoke,random,10,34,reduction_vs_baseline_pct,17.4186,15.1092,21.2526,percentile_interval_across_phase05_runs,3
smoke,random,10,34,prevention_rate_pct,33.769,31.4705,36.4379,percentile_interval_across_phase05_runs,3
smoke,random,11,37,final_mean_infected_per_hh,2.6742,2.6164,2.7352,percentile_interval_across_phase05_runs,3
smoke,random,11,37,reduction_vs_baseline_pct,20.6484,18.5318,22.4801,percentile_interval_across_phase05_runs,3
smoke,random,11,37,prevention_rate_pct,35.7298,32.1895,39.6405,percentile_interval_across_phase05_runs,3
smoke,random,12,40,final_mean_infected_per_hh,2.6629,2.6261,2.7125,percentile_interval_across_phase05_runs,3
smoke,random,12,40,reduction_vs_baseline_pct,20.9627,19.1188,24.0256,percentile_interval_across_phase05_runs,3
smoke,random,12,40,prevention_rate_pct,33.7691,30.2942,36.5033,percentile_interval_across_phase05_runs,3
smoke,random,13,44,final_mean_infected_per_hh,2.6061,2.5284,2.658,percentile_interval_across_phase05_runs,3
smoke,random,13,44,reduction_vs_baseline_pct,22.6456,19.0092,25.1866,percentile_interval_across_phase05_runs,3
smoke,random,13,44,prevention_rate_pct,41.3943,36.8627,45.5555,percentile_interval_across_phase05_runs,3
smoke,random,14,47,final_mean_infected_per_hh,2.6553,2.6256,2.7011,percentile_interval_across_phase05_runs,3
smoke,random,14,47,reduction_vs_baseline_pct,21.1907,19.4654,24.0424,percentile_interval_across_phase05_runs,3
smoke,random,14,47,prevention_rate_pct,40.0872,26.3072,52.3856,percentile_interval_across_phase05_runs,3
smoke,random,15,51,final_mean_infected_per_hh,2.5758,2.4489,2.7188,percentile_interval_across_phase05_runs,3
smoke,random,15,51,reduction_vs_baseline_pct,23.5019,17.1448,27.5404,percentile_interval_across_phase05_runs,3
smoke,random,15,51,prevention_rate_pct,45.3159,40.719,50.6536,percentile_interval_across_phase05_runs,3
smoke,random,16,54,final_mean_infected_per_hh,2.4849,2.4443,2.5415,percentile_interval_across_phase05_runs,3
smoke,random,16,54,reduction_vs_baseline_pct,26.2596,24.6175,28.6772,percentile_interval_across_phase05_runs,3
smoke,random,16,54,prevention_rate_pct,50.7625,47.0588,57.6143,percentile_interval_across_phase05_runs,3
smoke,random,17,57,final_mean_infected_per_hh,2.4773,2.4432,2.5404,percentile_interval_across_phase05_runs,3
smoke,random,17,57,reduction_vs_baseline_pct,26.4782,24.6175,29.3001,percentile_interval_across_phase05_runs,3
smoke,random,17,57,prevention_rate_pct,52.7233,48.6274,56.0785,percentile_interval_across_phase05_runs,3
smoke,random,18,61,final_mean_infected_per_hh,2.4129,2.3,2.5483,percentile_interval_across_phase05_runs,3
smoke,random,18,61,reduction_vs_baseline_pct,28.3654,24.3844,33.4361,percentile_interval_across_phase05_runs,3
smoke,random,18,61,prevention_rate_pct,53.8126,48.464,62.1242,percentile_interval_across_phase05_runs,3
smoke,random,19,64,final_mean_infected_per_hh,2.3523,2.3193,2.3949,percentile_interval_across_phase05_runs,3
smoke,random,19,64,reduction_vs_baseline_pct,30.1635,26.9313,32.991,percentile_interval_across_phase05_runs,3
smoke,random,19,64,prevention_rate_pct,54.2483,49.4118,56.8627,percentile_interval_across_phase05_runs,3
smoke,random,20,68,final_mean_infected_per_hh,2.2235,2.1318,2.283,percentile_interval_across_phase05_runs,3
smoke,random,20,68,reduction_vs_baseline_pct,33.9645,30.3477,38.4039,percentile_interval_across_phase05_runs,3
smoke,random,20,68,prevention_rate_pct,57.9521,52.0915,61.4052,percentile_interval_across_phase05_runs,3
