profile,param_id,beta,gamma,run_id,seed,budget_k_pct,budget_k_nodes,strategy,time_step,mean_susceptible,mean_infected_active,mean_recovered,mean_ever_infected,n_households
smoke,beta0.20_gamma0.10,0.2,0.1,1,10243,2,6,random,10,0.75,1.3295,1.7159,3.0455,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20243,2,6,random,0,2.8182,0.9773,0.0,0.9773,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20243,2,6,random,1,2.3977,1.2614,0.1364,1.3977,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20243,2,6,random,2,1.9773,1.6136,0.2045,1.8182,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20243,2,6,random,3,1.5909,1.8636,0.3409,2.2045,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20243,2,6,random,4,1.2841,2.0114,0.5,2.5114,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20243,2,6,random,5,1.0455,2.0114,0.7386,2.75,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20243,2,6,random,6,0.8864,1.9659,0.9432,2.9091,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20243,2,6,random,7,0.7841,1.8523,1.1591,3.0114,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20243,2,6,random,8,0.7273,1.7841,1.2841,3.0682,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20243,2,6,random,9,0.6818,1.6364,1.4773,3.1136,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20243,2,6,random,10,0.6818,1.5,1.6136,3.1136,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,244,2,6,degree,0,2.8182,0.9773,0.0,0.9773,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,244,2,6,degree,1,2.5455,1.1591,0.0909,1.25,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,244,2,6,degree,2,2.1591,1.4205,0.2159,1.6364,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,244,2,6,degree,3,1.7727,1.6705,0.3523,2.0227,88
