profile,param_id,beta,gamma,strategy,budget_k_pct,budget_k_nodes,mean_infected_per_hh,std_infected_per_hh,p2_5_infected_per_hh,p97_5_infected_per_hh,mean_reduction_vs_baseline_pct,std_reduction_vs_baseline_pct,p2_5_reduction_vs_baseline_pct,p97_5_reduction_vs_baseline_pct,n_runs
smoke,beta0.25_gamma0.10,0.25,0.1,random,18,61,2.4129,0.1083,2.3,2.5483,28.3654,3.9941,24.3844,33.4361,3
smoke,beta0.25_gamma0.10,0.25,0.1,random,19,64,2.3523,0.0334,2.3193,2.3949,30.1635,2.6258,26.9313,32.991,3
smoke,beta0.25_gamma0.10,0.25,0.1,random,20,68,2.2235,0.0703,2.1318,2.283,33.9645,3.529,30.3477,38.4039,3
smoke,beta0.30_gamma0.10,0.3,0.1,betweenness,1,3,3.3712,0.0842,3.2677,3.4619,5.7913,3.1928,2.1176,9.5458,3
smoke,beta0.30_gamma0.10,0.3,0.1,betweenness,2,6,3.4015,0.0778,3.3415,3.5034,4.9807,1.595,2.962,6.5866,3
smoke,beta0.30_gamma0.10,0.3,0.1,betweenness,3,10,3.3409,0.0334,3.2983,3.3739,6.6541,1.5616,5.1881,8.6654,3
smoke,beta0.30_gamma0.10,0.3,0.1,betweenness,4,13,3.2311,0.0756,3.1324,3.2944,9.7471,1.2931,8.8078,11.4399,3
smoke,beta0.30_gamma0.10,0.3,0.1,betweenness,5,17,3.1098,0.1123,2.9647,3.2131,13.1129,3.2628,10.6307,17.3857,3
smoke,beta0.30_gamma0.10,0.3,0.1,betweenness,6,20,3.0455,0.0161,3.0341,3.0665,14.9142,0.8118,14.1684,15.9637,3
smoke,beta0.30_gamma0.10,0.3,0.1,betweenness,7,23,3.0455,0.1286,2.8772,3.1364,14.889,4.1871,11.3242,20.3499,3
smoke,beta0.30_gamma0.10,0.3,0.1,betweenness,8,27,3.0379,0.0351,2.992,3.0676,15.1214,1.4792,13.2946,16.704,3
smoke,beta0.30_gamma0.10,0.3,0.1,betweenness,9,30,2.9242,0.0107,2.9102,2.9318,18.3024,0.4844,17.7184,18.8422,3
smoke,beta0.30_gamma0.10,0.3,0.1,betweenness,10,34,2.6818,0.076,2.5857,2.7586,25.0623,2.5727,22.0296,28.0142,3
smoke,beta0.30_gamma0.10,0.3,0.1,betweenness,11,37,2.7349,0.0298,2.696,2.7608,23.5865,1.3844,22.2322,25.3532,3
smoke,beta0.30_gamma0.10,0.3,0.1,betweenness,12,40,2.6174,0.0439,2.5608,2.658,26.8715,1.4233,25.4526,28.6784,3
smoke,beta0.30_gamma0.10,0.3,0.1,betweenness,13,44,2.6288,0.116,2.4954,2.7653,26.5751,2.8297,23.0135,29.4708,3
smoke,beta0.30_gamma0.10,0.3,0.1,betweenness,14,47,2.5151,0.0567,2.4568,2.5864,29.7144,2.2491,26.8727,31.9907,3
smoke,beta0.30_gamma0.10,0.3,0.1,betweenness,15,51,2.356,0.0107,2.342,2.3636,34.1734,0.7509,33.1926,34.7992,3
smoke,beta0.30_gamma0.10,0.3,0.1,betweenness,16,54,2.4508,0.0618,2.3887,2.529,31.5275,1.8655,29.5184,33.8237,3
smoke,beta0.30_gamma0.10,0.3,0.1,betweenness,17,57,2.3371,0.0418,2.2869,2.3841,34.6928,1.7642,32.5926,36.6934,3
smoke,beta0.30_gamma0.10,0.3,0.1,betweenness,18,61,2.2652,0.0744,2.1756,2.3483,36.6955,2.6522,33.6039,39.7757,3
